Year,AC,AM,AP,MA,MT,PA,RO,RR,TO,,,,,,,,,,
1988,620,1510,60,2450,5140,6990,2340,290,1650,,620,1510,60,2450,5140,6990,2340,290,1650
1989,540,1180,130,1420,5960,5750,1430,630,730,,1160,2690,190,3870,11100,12740,3770,920,2380
1990,550,520,250,1100,4020,4890,1670,150,580,,1710,3210,440,4970,15120,17630,5440,1070,2960
1991,380,980,410,670,2840,3780,1110,420,440,,2090,4190,850,5640,17960,21410,6550,1490,3400
1992,400,799,36,1135,4674,3787,2265,281,409,,2490,4989,886,6775,22634,25197,8815,1771,3809
1993,482,370,0,372,6220,4284,2595,240,333,,2972,5359,886,7147,28854,29481,11410,2011,4142
1994,482,370,0,372,6220,4284,2595,240,333,,3454,5729,886,7519,35074,33765,14005,2251,4475
1995,1208,2114,9,1745,10391,7845,4730,220,797,,4662,7843,895,9264,45465,41610,18735,2471,5272
1996,433,1023,0,1061,6543,6135,2432,214,320,,5095,8866,895,10325,52008,47745,21167,2685,5592
1997,358,589,18,409,5271,4139,1986,184,273,,5453,9455,913,10734,57279,51884,23153,2869,5865
1998,536,670,30,1012,6466,5829,2041,223,576,,5989,10125,943,11746,63745,57713,25194,3092,6441
1999,441,720,0,1230,6963,5111,2358,220,216,,6430,10845,943,12976,70708,62824,27552,3312,6657
2000,547,612,0,1065,6369,6671,2465,253,244,,6977,11457,943,14041,77077,69495,30017,3565,6901
2001,419,634,7,958,7703,5237,2673,345,189,,7396,12091,950,14999,84780,74732,32690,3910,7090
2002,883,885,0,1085,7892,7510,3099,84,212,,8279,12976,950,16084,92672,82242,35789,3994,7302
2003,1078,1558,25,993,10405,7145,3597,439,156,,9357,14534,975,17077,103077,89387,39386,4433,7458
2004,728,1232,46,755,11814,8870,3858,311,158,,10085,15766,1021,17832,114891,98257,43244,4744,7616
2005,592,775,33,922,7145,5899,3244,133,271,,10677,16541,1054,18754,122036,104156,46488,4877,7887
2006,398,788,30,674,4333,5659,2049,231,124,,11075,17329,1084,19428,126369,109815,48537,5108,8011
2007,184,610,39,631,2678,5526,1611,309,63,,11259,17939,1123,20059,129047,115341,50148,5417,8074
2008,254,604,100,1271,3258,5607,1136,574,107,,11513,18543,1223,21330,132305,120948,51284,5991,8181
2009,167,405,70,828,1049,4281,482,121,61,,11680,18948,1293,22158,133354,125229,51766,6112,8242
2010,259,595,53,712,871,3770,435,256,49,,11939,19543,1346,22870,134225,128999,52201,6368,8291
2011,280,502,66,396,1120,3008,865,141,40,,12219,20045,1412,23266,135345,132007,53066,6509,8331
2012,305,523,27,269,757,1741,773,124,52,,12524,20568,1439,23535,136102,133748,53839,6633,8383
2013,221,583,23,403,1139,2346,932,170,74,,12745,21151,1462,23938,137241,136094,54771,6803,8457
2014,309,500,31,257,1075,1887,684,219,50,,13054,21651,1493,24195,138316,137981,55455,7022,8507
2015,264,712,25,209,1601,2153,1030,156,57,,13318,22363,1518,24404,139917,140134,56485,7178,8564
2016,372,1129,17,258,1489,2992,1376,202,58,,13690,23492,1535,24662,141406,143126,57861,7380,8622
2017,257,1001,24,265,1561,2433,1243,132,31,,13947,24493,1559,24927,142967,145559,59104,7512,8653
2018,444,1045,24,253,1490,2744,1316,195,25,,14391,25538,1583,25180,144457,148303,60420,7707,8678
2019,682,1434,32,237,1702,4172,1257,590,23,,15073,26972,1615,25417,146159,152475,61677,8297,8701
2020,706,1512,24,336,1779,4899,1273,297,25,,15779,28484,1639,25753,147938,157374,62950,8594,8726
2021*,889,2306,17,350,2213,5238,1673,315,37,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Total Size,164123,1559159,142829,,,,,,,,,,,,,,,,
