1961	31444
1962	31971
1963	32498
1964	33025
1965	33552
1966	34079
1967	34606
1968	35133
1969	35660
1970	36190
1971	37393
1972	38596
1973	39799
1974	41002
1975	42207
1976	45369
1977	48531
1978	51693
1979	54855
1980	58018.208
1981	58977
1982	59936
1983	60895
1984	61854
1985	62810.707
1986	61540
1987	60269
1988	58998
1989	57727
1990	56456
1991	55185
1992	53914
1993	52643
1994	51372
1995	50105
1996	51058
1997	52011
1998	52964
1999	53917
2000	54870
2001	55823
2002	56776
2003	57729
2004	58682
2005	59635
2006	60593
2007	60859
2008	61125
2009	61391
2010	61657
2011	61923
2012	62189
2013	62455
2014	62721
2015	62987
2016	63253
2017	63517.8
2018	63518
2019	63518
2020	63518
