Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description
"EI","Emissions intensities","001","World","71761","Emissions intensity","F1718","Cereals excluding rice","2020","2020","kg CO2eq/kg product","0.1797","E","Estimated value"
"EI","Emissions intensities","001","World","71761","Emissions intensity","0113","Rice","2020","2020","kg CO2eq/kg product","1.1089","E","Estimated value"
"EI","Emissions intensities","001","World","71761","Emissions intensity","21111.01","Meat of cattle with the bone, fresh or chilled","2020","2020","kg CO2eq/kg product","30.28","E","Estimated value"
"EI","Emissions intensities","001","World","71761","Emissions intensity","02211","Raw milk of cattle","2020","2020","kg CO2eq/kg product","0.9694","E","Estimated value"
"EI","Emissions intensities","001","World","71761","Emissions intensity","21116","Meat of goat, fresh or chilled","2020","2020","kg CO2eq/kg product","34.7423","E","Estimated value"
"EI","Emissions intensities","001","World","71761","Emissions intensity","02292","Raw milk of goats","2020","2020","kg CO2eq/kg product","2.5271","E","Estimated value"
"EI","Emissions intensities","001","World","71761","Emissions intensity","21112","Meat of buffalo, fresh or chilled","2020","2020","kg CO2eq/kg product","62.3888","E","Estimated value"
"EI","Emissions intensities","001","World","71761","Emissions intensity","02212","Raw milk of buffalo","2020","2020","kg CO2eq/kg product","0.9916","E","Estimated value"
"EI","Emissions intensities","001","World","71761","Emissions intensity","21115","Meat of sheep, fresh or chilled","2020","2020","kg CO2eq/kg product","24.3914","E","Estimated value"
"EI","Emissions intensities","001","World","71761","Emissions intensity","02291","Raw milk of sheep","2020","2020","kg CO2eq/kg product","5.5782","E","Estimated value"
"EI","Emissions intensities","001","World","71761","Emissions intensity","02293","Raw milk of camel","2020","2020","kg CO2eq/kg product","4.1616","E","Estimated value"
"EI","Emissions intensities","001","World","71761","Emissions intensity","21121","Meat of chickens, fresh or chilled","2020","2020","kg CO2eq/kg product","0.5586","E","Estimated value"
"EI","Emissions intensities","001","World","71761","Emissions intensity","0231","Hen eggs in shell, fresh","2020","2020","kg CO2eq/kg product","0.5555","E","Estimated value"
"EI","Emissions intensities","001","World","71761","Emissions intensity","21113.01","Meat of pig with the bone, fresh or chilled","2020","2020","kg CO2eq/kg product","1.821","E","Estimated value"
